库名,表名,路径,du B（不准确）,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,common_zxt_live_first_and_final,/data/hive/report_tb.db/common_zxt_live_first_and_final,4410630,0,zhuoxueteng,,zhuoxueteng,hdfs,,,,
report_tb,likee_live_realtime_anchor_live,/data/hive/report_tb.db/likee_live_realtime_anchor_live,2764479,0,liaoqinghao,,liaoqinghao,hdfs,,,,
report_tb,caoke_antispam_tr_public_msg_uid_backup,/data/hive/report_tb.db/caoke_antispam_tr_public_msg_uid_backup,1214970896,0.005,caoke,,caoke,hdfs,,,,
report_tb,like_ru_id_hot_comment_candidate,/data/hive/report_tb.db/like_ru_id_hot_comment_candidate,1175588605,0.032,liyanli,,liyanli,hdfs,,,,
report_tb,likee_live_realtime_user_active,/data/hive/report_tb.db/likee_live_realtime_user_active,104437134,0,liaoqinghao,,liaoqinghao,hdfs,,,,
report_tb,likee_live_anchor_pk_detail_data,/data/hive/report_tb.db/likee_live_anchor_pk_detail_data,-163509259,0.004,hukun,,hukun,hdfs,,,,
report_tb,like_wh_label_v2_stock_resources,/data/hive/report_tb.db/like_wh_label_v2_stock_resources,39394680,0,wanghao.mir,,wanghao.mir,hdfs,,,,
report_tb,cd_like_live_hdid_minday_haozhixun_no_partition,/data/hive/report_tb.db/cd_like_live_hdid_minday_haozhixun_no_partition,-2058282031,0.049,haozhixun,,haozhixun,hdfs,,,,
report_tb,likee_video_status,/data/hive/report_tb.db/likee_video_status,,,linruolin,,,,,,,
report_tb,likelive_wj_audience_ab_jishu_s,/data/hive/report_tb.db/likelive_wj_audience_ab_jishu_s,-44703232,74.09,weijing,,weijing,hdfs,,day=yyyy-mm-dd,90,done
report_tb,likelive_wj_audience_ab_jishu_res,/data/hive/report_tb.db/likelive_wj_audience_ab_jishu_res,-1961231121,0.08,weijing,,weijing,hdfs,,,,
report_tb,bigolive_lx_room_function_enter_click_data,/data/hive/report_tb.db/bigolive_lx_room_function_enter_click_data,-783225216,0.57,lixue,,lixue,hdfs,,,,
report_tb,bigolive_yty_shower_audience_pertime_detail,/data/hive/report_tb.db/bigolive_yty_shower_audience_pertime_detail,-2085184384,7.143,yutianyu,,yutianyu,hdfs,,,,
report_tb,like_wj_shortvideo_transfer_abplay_s,/data/hive/report_tb.db/like_wj_shortvideo_transfer_abplay_s,-1360497650,0.018,weijing,,weijing,hdfs,,,,
