目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/indigo_yunying_feature_uid,"3,429,630,000,000",3.119,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_members_day,"3,354,260,000,000",3.051,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_biggroup_push_activelevel_categeoryv1_day,"3,325,200,000,000",3.024,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_anti_haras_call_buddy_uid,"3,288,210,000,000",2.991,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_worldfeed_dispatched_detail_day,"3,285,930,000,000",2.989,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_world_abtest_client_info,"3,048,770,000,000",2.773,,,,,,,zhangyangjiang,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_daily_user_register_active_info,"2,976,530,000,000",2.707,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_relation_1v1_hdlink_day,"2,870,250,000,000",2.610,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_world_dau,"2,854,300,000,000",2.596,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_ad_users_info,"2,642,380,000,000",2.403,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_consume_labels_total,"2,625,510,000,000",2.388,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_uid_subscribed_channel,"2,611,400,000,000",2.375,,,,,,,huangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_result_day,"2,596,130,000,000",2.361,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_vv_day_old,"2,554,940,000,000",2.324,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_userid_login_day,"2,515,950,000,000",2.288,,,,,,,wangyunfei,hdfs,,,,
